"filename", "language", "Python", "comment", "blank", "total"
"/home/r49769hf/git/comp16321-labs_r49769hf/game_solution.py", "Python", -1, 0, 0, -1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/game.py", "Python", 38, 1, 17, 56
"/home/r49769hf/git/comp16321-labs_r49769hf/src/gameImage.py", "Python", 3, 0, 1, 4
"/home/r49769hf/git/comp16321-labs_r49769hf/src/maze.py", "Python", 13, 0, 3, 16
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Blinky.py", "Python", 1, 0, 0, 1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Ghost.py", "Python", 85, 22, 18, 125
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/ghosts/Inky.py", "Python", 0, 1, 0, 1
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/map_objects/moveable.py", "Python", 6, 0, 1, 7
"/home/r49769hf/git/comp16321-labs_r49769hf/src/objects/pacman.py", "Python", 12, 4, 2, 18
"Total", "-", 157, 28, 42, 227
